INFO ; Archivo de logging creado! ; Sun Jun  9 20:15:15 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Sun Jun  9 20:16:17 2019
DEBUG ; Juego::Jugador 2 salta ; Sun Jun  9 20:16:17 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Sun Jun  9 20:16:17 2019
DEBUG ; Juego::Jugador 2 salta ; Sun Jun  9 20:16:17 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Sun Jun  9 20:16:17 2019
DEBUG ; Parallax::Camara 1 inicializada ; Sun Jun  9 20:16:22 2019
DEBUG ; Parallax::Camara 2 inicializada ; Sun Jun  9 20:16:22 2019
DEBUG ; Parallax::Camara 3 inicializada ; Sun Jun  9 20:16:22 2019
DEBUG ; Parallax::Camara 1 inicializada ; Sun Jun  9 20:16:33 2019
DEBUG ; Parallax::Camara 2 inicializada ; Sun Jun  9 20:16:33 2019
DEBUG ; Parallax::Camara 3 inicializada ; Sun Jun  9 20:16:33 2019
INFO ; Servidor::Se desconecto el cliente 2 ; Sun Jun  9 20:16:42 2019
